# RaceRender Data: [TrackAddict 4.4a; Android 9; samsung SM-N960U / Qualcomm Technologies, Inc SDM845] (Mode: 1),,,,,,,,,,,,,,,,,,
# Exported by TrackAddict 4.4a on Android 9,,,,,,,,,,,,,,,,,,,
# http://HPTuners.com,,,,,,,,,,,,,,,,,,,
# Fixed Rate Interpolated Export (20.000 Hz),,,,,,,,,,,,,,,,,,,
# Lap 0: 00:09:11.807,,,,,,,,,,,,,,,,,,,
# Lap 1: 00:00:45.948,,,,,,,,,,,,,,,,,,,
# Lap 2: 00:01:25.705,,,,,,,,,,,,,,,,,,,
Time,UTC Time,Lap,Latitude,Longitude,Altitude (m),Altitude (ft),Speed (MPH),Heading,Accuracy (m),Accel X,Accel Y,Accel Z,Brake (calculated),Barometric Pressure (PSI),Pressure Altitude (ft),,,,
2.35,1571593458,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
2.4,1571593458,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
2.45,1571593458,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
2.5,1571593459,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
2.55,1571593459,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
2.6,1571593459,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
2.65,1571593459,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
2.7,1571593459,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
2.75,1571593459,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
2.8,1571593459,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
2.85,1571593459,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
2.9,1571593459,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
2.95,1571593459,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
3,1571593459,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
3.05,1571593459,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
3.1,1571593459,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
3.15,1571593459,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
3.2,1571593459,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
3.25,1571593459,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
3.3,1571593459,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1046,,,,
